Startup,Product,Funding,Event,Result,OperatingState,,,,Audience choice,Operating,,Funding
Kisi,getkisi.com,$1.6M,Disrupt NYC 2013,Contestant,Operating,,,,,,,
KIWI,kiwi.ki,$4.4M,Disrupt EU 2013,Contestant,Operating,,,,,,,
Kloudless,kloudless.com,$1.3M,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Knocki,knocki.com,$1.9M,-,Audience choice,Operating,,,,,,,
Koality,koalitycode.com,$1.8M,Disrupt SF 2013,Contestant,Acquired,,,,,,,
Koemei,koemei.com,$1.3M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Kohort,kohort.com,$3M,Disrupt NYC 2011,Contestant,Closed,,,,,,,
Koto Labs,koto.io,$717K,Hardware Battlefield 2014,Winner,Operating,,,,,,,
KurbKarma,kurbkarma.com,,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Kurbo Health,kurbo.com,$5.8M,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Kwoller,kwoller.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
lark,lark.com,$4.1M,Disrupt SF 2010,Contestant,Operating,,,,,,,
Laugh Radio,laughradio.com,,Disrupt NY 2016,Audience choice,Operating,,,,,,,
Layer,layer.com,$42.1M,Disrupt SF 2013,Winner,Operating,,,,,,,
Leaf,getleaf.co,$2M,Disrupt SF 2015,Contestant,Operating,,,,,,,
Leapfin,leapfin.com,$1M,Disrupt SF 2015,Finalist,Operating,,,,,,,
LearnVest,learnvest.com,$69M,TC50 2009,Contestant,Acquired,,,,,,,
Levebee,levebee.com,,Disrupt EU 2014,Contestant,Operating,,,,,,,
LiftIgniter,liftigniter.com,$50K,Disrupt London 2016,Finalist,Operating,,,,,,,
Liquidity Nanotech Corporation,liquico.com,$10.6M,Disrupt NY 2015,Winner,Operating,,,,,,,
Lissn,lissn.in,,TC50 2009,Contestant,Closed,,,,,,,
Lit Motors,litmotors.com,$2.2M,Disrupt SF 2012,Runner up,Operating,,,,,,,
Live Matrix,livematrix.com,,Disrupt NYC 2010,Contestant,Acquired,,,,,,,
LiveHit,livehit.com,,TC50 2008,Contestant,Operating,,,,,,,
LiveIntent,liveintent.com,$65.1M,Disrupt NYC 2010,Audience choice,Operating,,,,,,,
Livemap,livemap.info,$1.3M,Hardware Battlefield 2014,Contestant,Operating,,,,,,,
Livestar,livestar.com,$2M,Disrupt SF 2012,Contestant,Acquired,,,,,,,
Lobster,lobster.media,$2M,Disrupt EU 2014,Contestant,Operating,,,,,,,
localbacon,jibe.com,$875K,TC50 2009,Contestant,Closed,,,,,,,
LocalHero Inc.,,,Disrupt SF 2011,Contestant,Operating,,,,,,,
Locality,locality.com,$6.7M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Lock8,lock8.me,,Disrupt EU 2013,Winner,Operating,,,,,,,
LookSee Labs Inc,lookseelabs.com,,Hardware Battlefield 2015,Finalist,Operating,,,,,,,
LUCY,startwithlucy.com,$2.3M,Disrupt SF 2016,Audience choice,Operating,,,,,,,
Lumenus,lumenus.com,$250K,Disrupt NY 2016,Contestant,Operating,,,,,,,
Lumier,lumier.com,$350K,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Lystable,lystable.com,$25.1M,Disrupt London 2015,Finalist,Operating,,,,,,,
LyteShot,lyteshot.com,$635K,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Madbrook,everythingbuttart.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,
MailTime,mailtime.com,$3.2M,Disrupt SF 2014,Contestant,Operating,,,,,,,
Mainframe,mainframe.co,$300K,Disrupt London 2015,Contestant,Operating,,,,,,,
Maluuba,maluuba.com,$9.2M,Disrupt SF 2012,Contestant,Acquired,,,,,,,
Matibabu,thinkitlimited.com,,-,Contestant,Operating,,,,,,,
MAX - Metro Africa Express,max.ng,$1.1M,Disrupt London 2015,Runner up,Operating,,,,,,,
Me-trics,me-trics.com,,TC50 2008,Contestant,Closed,,,,,,,
"MedRepublic, Inc",medrepublic.com,$800K,Disrupt SF 2016,Contestant,Operating,,,,,,,
Meexo,meexo.com,,Disrupt SF 2011,Contestant,Acquired,,,,,,,
mEgo,mego.com,$7.3M,TC40 2007,Contestant,Closed,,,,,,,
Meporter,meporter.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Meritful,meritful.com,,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Metaplace,metaplace.com,$9.4M,TC40 2007,Contestant,Acquired,,,,,,,
Metricly,metricly.com,,TC50 2009,Contestant,Closed,,,,,,,
mFluiDx,mfluidx.com,,Disrupt SF 2016,Contestant,Operating,,,,,,,
MicroBlink,microblink.com,,Disrupt EU 2014,Finalist,Operating,,,,,,,
Mimi Hearing Technologies GmbH,mimi.io,,Disrupt NYC 2014,Finalist,Operating,,,,,,,
Mink,gracemink.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Minor Studios,minorstudios.com,,TC50 2008,Finalist,Closed,,,,,,,
Mint,mint.com,$31.8M,TC40 2007,Winner,Acquired,,,,,,,
Mirth Corp,mirth.com,,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Miso Media,misomedia.com,$3M,Disrupt SF 2010,Audience choice,Closed,,,,,,,
MIXTT,mixtt.com,,TC50 2008,Contestant,Closed,,,,,,,
Mob.ly,mob.ly,$900K,TC50 2008,Contestant,Acquired,,,,,,,
Mobalytics,mobalyticshq.com,$2.6M,Disrupt SF 2016,Winner,Operating,,,,,,,
Mobclix,mobclix.com,,TC50 2008,Contestant,Acquired,,,,,,,
MobilePayUSA,mobilepayusa.com,,Disrupt SF 2010,Audience choice,Closed,,,,,,,
Modbot,modbot.com,$4M,Hardware Battlefield 2014,Contestant,Operating,,,,,,,
Moglue,moglue.com,$1.2M,Disrupt Beijing 2011,Finalist,Closed,,,,,,,
Money Intel,moneyintel.com,,Disrupt SF 2015,Contestant,Operating,,,,,,,
Monsieur,monsieur.co,$3.3M,Disrupt SF 2013,Contestant,Operating,,,,,,,
MOTA Motors,mota.com,$9.5M,TC50 2009,Contestant,Operating,,,,,,,
MotherKnows,,,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Movebubble,movebubble.com,$3.1M,Disrupt London 2015,Contestant,Operating,,,,,,,
Munro Electric Vehicle,munromotor.com/,,-,Contestant,Operating,,,,,,,
Musicshake,musicshake.com,$3.5M,TC40 2007,Contestant,Operating,,,,,,,
myki,myki.co,$1.2M,Disrupt SF 2016,Contestant,Operating,,,,,,,
myLanguage,myLanguage.me,$50K,Disrupt SF 2011,Contestant,Operating,,,,,,,
mySkin,myskin.com,$275K,Disrupt EU 2013,Contestant,Operating,,,,,,,
Mytopia,mytopia.com,$3.5M,TC50 2008,Contestant,Acquired,,,,,,,
NapTime,naptime.technology,,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Nativetap.io,nativetap.io,$100K,Disrupt NY 2015,Contestant,Operating,,,,,,,
NetPlenish,shopgeniusapp.com,$1.9M,Disrupt SF 2012,Audience choice,Operating,,,,,,,
Next Caller,nextcaller.com,,Disrupt SF 2013,Contestant,Operating,,,,,,,
NextGoals,nextgoals.com,,Disrupt Beijing 2011,Contestant,Operating,,,,,,,
Neyya,myneyya.com,$2.2M,Hardware Battlefield 2014,Contestant,Operating,,,,,,,
Nikola Labs,nikola.tech,$2.8M,Disrupt NY 2015,Contestant,Operating,,,,,,,
Nima,nimasensor.com,$13.2M,Hardware Battlefield 2016,Winner,Operating,,,,,,,
NimbusBase,nimbusbase.com,$275K,Disrupt NYC 2013,Contestant,Operating,,,,,,,
NoiseToys,noisetoys.com,$1.4M,Disrupt NYC 2010,Contestant,Operating,,,,,,,
Notivo,notivo.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Nucleus Scientific,nucleusscientific.com,,Disrupt NY 2015,Finalist,Operating,,,,,,,
NUMBER26,n26.com,$10.7M,Disrupt EU 2014,Contestant,Operating,,,,,,,
O-Robotix,orobotix.com,$100K,Disrupt NY 2016,Contestant,Operating,,,,,,,
Off & Away,offandaway.com,$3.3M,Disrupt NYC 2010,Contestant,Acquired,,,,,,,
Offerboard,offerboard.com,$1.3M,Disrupt NYC 2014,Contestant,Acquired,,,,,,,
ONDiGO,ondigo.me,$500K,Disrupt EU 2014,Contestant,Operating,,,,,,,
OneTrueFan,onetruefan.com,$1.2M,Disrupt SF 2010,Contestant,Acquired,,,,,,,
Open as App,openasapp.net,,Disrupt London 2016,Contestant,Operating,,,,,,,
Open Garden,opengarden.com,$12.8M,Disrupt NYC 2012,Finalist,Operating,,,,,,,
Openbucks,openbucks.com,$5.3M,Disrupt SF 2011,Contestant,Operating,,,,,,,
Opzi,opzi.com,$1M,Disrupt SF 2010,Finalist,Closed,,,,,,,
OrderWithMe,orderwithme.com,$37M,Disrupt Beijing 2011,Winner,Operating,,,,,,,
Organizer,organizer.com,$3.9M,Disrupt SF 2012,Contestant,Operating,,,,,,,
Orgoo,orgoo.com,,TC40 2007,Contestant,Closed,,,,,,,
oscadi,oscadi.com,$651.4K,Disrupt EU 2014,Finalist,Operating,,,,,,,
Osmo,playosmo.com,$38.5M,Disrupt SF 2013,Contestant,Operating,,,,,,,
Ossia,ossia.com,$25.5M,Disrupt SF 2013,Runner up,Operating,,,,,,,
OtherInbox,otherinbox.com,$3.8M,TC50 2008,Contestant,Acquired,,,,,,,
Outline,theoutline.com,$892K,Disrupt SF 2013,Contestant,Closed,,,,,,,
"Overnest, Inc.",overnest.com,,Disrupt NY 2016,Contestant,Operating,,,,,,,
Owlet Baby Care,owletcare.com,$24M,Hardware Battlefield 2014,Runner up,Operating,,,,,,,
Oxehealth,oxehealth.com,$3.4M,Disrupt London 2016,Finalist,Operating,,,,,,,
PageCloud,pagecloud.com,$7.2M,Disrupt NY 2015,Finalist,Operating,,,,,,,
Paidpiper,paidpiper.com,$1.2M,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Pangea,pangeare.com,,Disrupt NY 2015,Contestant,Operating,,,,,,,
Paribus,paribus.co,$2.2M,Disrupt NY 2015,Contestant,Acquired,,,,,,,
Partpic,partpic.com,$1.5M,Disrupt SF 2014,Finalist,Operating,,,,,,,
Pathmapp,pathmapp.com,,Disrupt SF 2012,Contestant,Closed,,,,,,,
PatternEQ Inc.,patterneq.com,,Disrupt SF 2014,Finalist,Operating,,,,,,,
PayTap,paytap.com,$520K,Disrupt SF 2012,Contestant,Operating,,,,,,,
Peekster,peeksterapp.com,$79.5K,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Peeple,peeple.io,$156K,Hardware Battlefield 2015,Runner up,Operating,,,,,,,
Penn & Teller,pennandteller.com,,TC50 2009,Contestant,Operating,,,,,,,
Perpetually,perpetually.com,,TC50 2009,Contestant,Acquired,,,,,,,
PERSONALRIA,personalria.com,,TC50 2008,Contestant,Closed,,,,,,,
Peruse,peruse.io,$50K,Disrupt NY 2015,Contestant,Operating,,,,,,,
PhenixP2P Inc.,phenixp2p.com,$4.8M,Disrupt London 2016,Finalist,Operating,,,,,,,
PHIND,phind.it,$755K,Disrupt NY 2015,Contestant,Operating,,,,,,,
Pillar Technologies,pillar.tech,$525K,-,Finalist,Operating,,,,,,,
Pinger,pinger.com,$18.5M,Disrupt SF 2010,Runner up,Operating,,,,,,,
Pipewise,pipewise.com,$3.5M,Disrupt NYC 2011,Contestant,Closed,,,,,,,
PlaceAVote.com,placeavote.com,$500K,Disrupt NY 2016,Contestant,Operating,,,,,,,
Plantly,plantly.com,,Disrupt NYC 2010,Audience choice,Closed,,,,,,,
plaYce,playce.com,,TC50 2008,Contestant,Operating,,,,,,,
PlaySay,playsay.com,$1.1M,Disrupt SF 2011,Contestant,Acquired,,,,,,,
Pluto Media,pluto-media.com,$2.2M,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Ponoko,ponoko.com,$1.5M,TC40 2007,Contestant,Operating,,,,,,,
Popego,grupo42.com,,TC50 2008,Contestant,Closed,,,,,,,
Postbox,postbox-inc.com,,TC50 2008,Contestant,Operating,,,,,,,
Postmates,postmates.com,$278M,Disrupt SF 2011,Contestant,Operating,,,,,,,
Powerset,powerset.com,$20.5M,TC40 2007,Contestant,Acquired,,,,,,,
Preemadonna,preemadonna.com,$500K,Disrupt SF 2015,Finalist,Operating,,,,,,,
Pressly,pressly.com,$3.6M,Disrupt SF 2011,Contestant,Operating,,,,,,,
Prior Knowledge,priorknowledge.com,$1.4M,Disrupt SF 2012,Finalist,Acquired,,,,,,,
Prism Skylabs,prism.com,$24M,Disrupt SF 2011,Runner up,Operating,,,,,,,
productboard,productboard.com,$1.7M,Disrupt SF 2016,Contestant,Operating,,,,,,,
Publish2,publish2.com,$2.8M,Disrupt NYC 2010,Finalist,Operating,,,,,,,
PubMatic,pubmatic.com,$63M,TC40 2007,Contestant,Operating,,,,,,,
Punch!,punch.is,$2.2M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Pundit,getpundit.com,$120K,Disrupt SF 2016,Contestant,Operating,,,,,,,
Qardio,getqardio.com,$948K,Disrupt EU 2013,Contestant,Operating,,,,,,,
Quant the News,quantnews.com,$150K,TC50 2008,Contestant,Closed,,,,,,,
Questli,questli.com,,Disrupt SF 2011,Audience choice,Closed,,,,,,,
QuickFire Networks,quickfirenetworks.com,,Disrupt SF 2014,Contestant,Acquired,,,,,,,
Qwiki,qwiki.com,$10.5M,Disrupt SF 2010,Winner,Acquired,,,,,,,
Rackup,rackup.com,$3.5M,TC50 2009,Contestant,Closed,,,,,,,
Radiusly,radiusly.com,,TC50 2009,Contestant,Closed,,,,,,,
Rainbow,,$3.3M,Disrupt SF 2013,Contestant,Operating,,,,,,,
Rallyteam,rallyteam.com,$20K,Disrupt SF 2014,Contestant,Operating,,,,,,,
Redbeacon,redbeacon.com,$7.4M,TC50 2009,Winner,Acquired,,,,,,,
RefMob,refmobworks.com,,TC50 2009,Contestant,Operating,,,,,,,
Regalii,regalii.com,$6M,Disrupt SF 2013,Finalist,Operating,,,,,,,
Relevancy Data,relevancydata.com,$20.3K,Disrupt NY 2015,Contestant,Operating,,,,,,,
Remark,remarkhq.com,$100K,Disrupt SF 2013,Contestant,Operating,,,,,,,
Rentlord,rentlord.com,,Disrupt SF 2011,Contestant,Operating,,,,,,,
Rewardli,rewardli.com,$765K,Disrupt SF 2011,Contestant,Operating,,,,,,,
Rex Animal Health,rexanimalhealth.com,$145K,Disrupt SF 2016,Contestant,Operating,,,,,,,
Rexly,rexly.com,$20K,Disrupt NYC 2011,Contestant,Acquired,,,,,,,
Richi,richi.com,,Disrupt Beijing 2011,Contestant,Operating,,,,,,,
Rinen,opentrace.org,,TC50 2008,Contestant,Closed,,,,,,,
Ripio,ripio.com,$7M,Disrupt NY 2016,Finalist,Operating,,,,,,,
Ritual,ritual.com,$5M,Disrupt NY 2016,Finalist,Operating,,,,,,,
Roadie,roadie.com,$25M,Disrupt NYC 2014,Audience choice,Operating,,,,,,,
Robin Technologies Inc,tryrobin.com,$1.2M,Disrupt SF 2016,Contestant,Operating,,,,,,,
Robo Wunderkind,robowunderkind.com,$956K,Disrupt SF 2015,Contestant,Operating,,,,,,,
Robotbase,robotbase.com,$250K,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Rollout.io,rollout.io,$3M,Disrupt SF 2015,Contestant,Operating,,,,,,,
Satago,satago.com,$7.7M,Disrupt EU 2013,Contestant,Acquired,,,,,,,
Saya,saya.im,,Disrupt SF 2012,Finalist,Acquired,,,,,,,
sciencebite,sciencebite.com,,Disrupt SF 2014,Contestant,Operating,,,,,,,
Scoutible,scoutible.com,$1.5M,Disrupt NY 2016,Contestant,Operating,,,,,,,
Scrumpt,scrumptbox.com,,Disrupt SF 2015,Finalist,Operating,,,,,,,
Sealtale,sealtale.com,,TC50 2009,Contestant,Closed,,,,,,,
SeatGeek,seatgeek.com,$160M,TC50 2009,Contestant,Operating,,,,,,,
Sedicii,sedicii.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Seeds,playseeds.com,$800K,Disrupt London 2016,Contestant,Operating,,,,,,,
Seenit,seenit.io,$1.4M,Disrupt London 2016,Winner,Operating,,,,,,,
Selequity,selequity.com,$590K,Disrupt NY 2015,Contestant,Operating,,,,,,,
Self Lender,selflender.com,$2M,Disrupt SF 2014,Contestant,Operating,,,,,,,
Sensay,sensay.it,$6M,Disrupt SF 2016,Contestant,Operating,,,,,,,
Sensibo,sensibo.com,$3.4M,Hardware Battlefield 2015,Audience choice,Operating,,,,,,,
Sentinl inc.,sentinl.com,$100K,Hardware Battlefield 2016,Finalist,Operating,,,,,,,
Sentri,sentri.me,$855.4K,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Sentry Scientific,sentryscientific.com,,Hardware Battlefield 2014,Contestant,Operating,,,,,,,
Separate.Us,separate.us,$165K,Disrupt SF 2015,Contestant,Operating,,,,,,,
SeqCentral,seqcentral.com,,Disrupt SF 2010,Contestant,Operating,,,,,,,
Sereneti Kitchen,sereneti.com,$150K,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Sevenhugs,sevenhugs.com,$16.2M,Disrupt London 2015,Contestant,Operating,,,,,,,
Shaker,atshaker.com,$18M,Disrupt SF 2011,Winner,Operating,,,,,,,
Shakr Media,shakr.com,$3.8M,Disrupt Beijing 2011,Contestant,Operating,,,,,,,
Shape,shapescale.com,,-,Contestant,Operating,,,,,,,
Share Practice,sharepractice.com,$4.1M,Disrupt NYC 2013,Contestant,Closed,,,,,,,
Shattered Reality Interactive,srinteractive.com,$1.1M,TC50 2008,Contestant,Closed,,,,,,,
Sher.ly,sher.ly,$1.4M,Disrupt EU 2013,Contestant,Operating,,,,,,,
ShieldSquare,shieldsquare.com,$350K,Disrupt SF 2015,Audience choice,Operating,,,,,,,
ShipHawk,shiphawk.com,$6M,Disrupt NYC 2013,Audience choice,Operating,,,,,,,
SHL Telemedicine,shl-telemedicine.com,,Disrupt NYC 2011,Contestant,Ipo,,,,,,,
ShoCard,shocard.com,$1.5M,Disrupt NY 2015,Contestant,Operating,,,,,,,
ShowKit,showkit.com,$440K,Disrupt NYC 2014,Finalist,Operating,,,,,,,
Shufflehub,shufflehub.com,,Disrupt EU 2013,Contestant,Operating,,,,,,,
Sign2Pay,sign2pay.com,$684.4K,Disrupt EU 2014,Contestant,Operating,,,,,,,
Simply Grid,simplygrid.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Siren Care,siren.care,$129.8K,-,Winner,Operating,,,,,,,
SizeUp,sizeup.com,,Disrupt SF 2011,Contestant,Operating,,,,,,,
Skaffl,skaffl.com,$118K,Disrupt SF 2013,Contestant,Operating,,,,,,,
Skylines,skylines.io,$700K,Disrupt NYC 2011,Contestant,Closed,,,,,,,
SkySpecs,skyspecs.com,$3.5M,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
SlickLogin,slicklogin.com,$20K,Disrupt SF 2013,Contestant,Acquired,,,,,,,
Slides,slides.com,,Disrupt SF 2016,Contestant,Operating,,,,,,,
SmartyPans,smartypans.io,,-,Contestant,Operating,,,,,,,
Smoretgage,smoretgage.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
SnapDragon,playsnapdragon.com,,Disrupt SF 2010,Contestant,Closed,,,,,,,
SnipSnap,snipsnap.it,$2.8M,Disrupt NYC 2012,Contestant,Acquired,,,,,,,
Social Stock,socialstock.com,,Disrupt NYC 2012,Contestant,Closed,,,,,,,
Socialwok,socialwok.com,,TC50 2009,Audience choice,Closed,,,,,,,
Soluto,soluto.com,$18M,Disrupt NYC 2010,Winner,Acquired,,,,,,,
Sonar,sonarapp.com,,Disrupt NYC 2011,Runner up,Operating,,,,,,,
SOP Notify,sopnotify.com,,Disrupt SF 2014,Contestant,Operating,,,,,,,
Spacebar,spacebar.com,,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Spawn Labs,spawnlabs.com,$1M,TC50 2009,Contestant,Acquired,,,,,,,
Spenz,spenz.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Spincle,spincle.io,,Disrupt SF 2016,Contestant,Operating,,,,,,,
Spinlister,spinlister.com,$2.3M,Disrupt SF 2012,Audience choice,Operating,,,,,,,
Spinn Inc.,spinn.com,$2.6M,Disrupt NY 2016,Contestant,Operating,,,,,,,
SpokenLayer,spokenlayer.com,$482K,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Spool,getspool.com,$1M,Disrupt SF 2011,Contestant,Acquired,,,,,,,
SpotlessCity,spotlesscity.com,$200K,Disrupt NYC 2012,Contestant,Closed,,,,,,,
SpotOn,spoton.com,$5M,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Spott,spo.tt,,TC40 2007,Contestant,Operating,,,,,,,
Sprowtt Marketplace,sprowtt.com,,TC50 2009,Contestant,Closed,,,,,,,
Sqreen,sqreen.io,$2.3M,Disrupt SF 2016,Finalist,Operating,,,,,,,
Stack Lighting,stacklighting.com,,Disrupt SF 2014,Finalist,Operating,,,,,,,
"Staffly, Inc.",staffly.com,$1.3M,Disrupt SF 2015,Contestant,Operating,,,,,,,
Stampery,stampery.com,$600K,Disrupt SF 2015,Contestant,Operating,,,,,,,
StandWith,launch.standwith.com,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Stepcase,stepcase.com,,Disrupt Beijing 2011,Contestant,Operating,,,,,,,
Stereolabs,stereolabs.com,$2M,Hardware Battlefield 2016,Contestant,Operating,,,,,,,
Stevie,stevie.com,$2.1M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Stitch,teamstitch.com,$120K,Disrupt SF 2015,Finalist,Operating,,,,,,,
Storify,storify.com,$23K,Disrupt SF 2010,Contestant,Acquired,,,,,,,
StoryBlender,storyblender.com,$1.5M,TC40 2007,Contestant,Closed,,,,,,,
StoryBox,getstorybox.com,$2.4M,Disrupt NYC 2010,Contestant,Operating,,,,,,,
Storysomething,storysomething.com,,TC50 2009,Contestant,Closed,,,,,,,
Stratio,stratio.com,,-,Finalist,Operating,,,,,,,
Stribe,stribe.com,$600K,TC50 2009,Contestant,Closed,,,,,,,
StudyHall,studyhall.com,,Disrupt SF 2012,Contestant,Operating,,,,,,,
StudyRoom,getstudyroom.com,,Disrupt SF 2014,Contestant,Operating,,,,,,,
StyleSaint,stylesaint.com,$5.8M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
StyleSeat,styleseat.com,$40M,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Sumazi,sumazi.com,,Disrupt SF 2010,Contestant,Operating,,,,,,,
Sunglass,sunglasshut.com,$1.8M,Disrupt NYC 2012,Finalist,Closed,,,,,,,
Superfly,superfly.com,$500K,Disrupt SF 2010,Contestant,Operating,,,,,,,
Supplizer,supplizer.com/,,Disrupt NYC 2013,Contestant,Closed,,,,,,,
SupplyShift,supplyshift.net,$485K,Disrupt NYC 2013,Finalist,Operating,,,,,,,
Sutro,sutrobio.com,$863K,Hardware Battlefield 2015,Finalist,Operating,,,,,,,
Switchmate,myswitchmate.com,,Hardware Battlefield 2015,Contestant,Operating,,,,,,,
Swype,swype.com,$15.6M,TC50 2008,Finalist,Acquired,,,,,,,
Symphony Commerce,symphonycommerce.com,$47.4M,Disrupt NYC 2011,Contestant,Operating,,,,,,,
TableGrabber,tablegrabber.com,$323.8K,Disrupt SF 2014,Contestant,Operating,,,,,,,
Tagbrand,tagbrand.com,$600K,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Tailor Brands,tailorbrands.com,$5.1M,Disrupt SF 2014,Contestant,Operating,,,,,,,
Talk to IO,talkto.io,,Disrupt EU 2014,Contestant,Operating,,,,,,,
Talkdesk,talkdesk.com,$24.5M,Disrupt NYC 2012,Contestant,Operating,,,,,,,
Talkz,talkz.com,,Disrupt NYC 2013,Contestant,Operating,,,,,,,
TallyGo,tallygo.com,$1M,Disrupt SF 2016,Contestant,Operating,,,,,,,
Tango Tech,tangopc.com,$350K,Disrupt NYC 2014,Contestant,Operating,,,,,,,
Teach The People,teachthepeople.com,$300K,TC40 2007,Contestant,Closed,,,,,,,
Tello Applications,,$4.7M,Disrupt SF 2010,Contestant,Closed,,,,,,,
Textingly,textingly.com,$650K,Disrupt NYC 2010,Contestant,Closed,,,,,,,
The Eye Tribe,theeyetribe.com,$5.3M,Hardware Battlefield 2014,Contestant,Acquired,,,,,,,
The Whuffie Bank,thewhuffiebank.org,,TC50 2009,Contestant,Closed,,,,,,,
TheSwop.com,theswop.com,,TC50 2009,Contestant,Closed,,,,,,,
Thinkfuse,thinkfuse.com,$532K,Disrupt NYC 2011,Contestant,Acquired,,,,,,,
Thoora,thoora.com,$4.2M,TC50 2009,Contestant,Closed,,,,,,,
threadsy,threadsy.com,$6.3M,TC50 2009,Finalist,Acquired,,,,,,,
ThriftDB,thriftdb.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Tickreel,tickreel.com,,Disrupt NYC 2010,Contestant,Closed,,,,,,,
TidePool,tidepool.co,$1.5M,Disrupt SF 2013,Contestant,Operating,,,,,,,
TimeLooper,timelooper.com,$1.9M,Disrupt NY 2016,Contestant,Operating,,,,,,,
Tingz,tingz.net,$280K,TC50 2008,Contestant,Closed,,,,,,,
Tonara,tonara.com,$9.8M,Disrupt SF 2011,Contestant,Operating,,,,,,,
Tonchidot,tonchidot.com,$16M,TC50 2008,Contestant,Operating,,,,,,,
ToonsTunes,toonstunes.com,,TC50 2009,Contestant,Closed,,,,,,,
TouchPal,touchpal.com,$25M,Disrupt Beijing 2011,Finalist,Operating,,,,,,,
Tovbot,tovbot.com,,Disrupt SF 2012,Contestant,Operating,,,,,,,
ToVieFor,toviefor.com,$93K,Disrupt SF 2010,Contestant,Closed,,,,,,,
ToyBots,toybots.com,,TC50 2009,Contestant,Closed,,,,,,,
Trace,traceapp.com,,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Tracks.by,tracks.by,$88K,Disrupt NYC 2011,Contestant,Operating,,,,,,,
Traction,traction.co,,Disrupt NYC 2014,Contestant,Operating,,,,,,,
TRAIL,discovertrail.com,,Disrupt SF 2013,Contestant,Operating,,,,,,,
Trello,trello.com,$10.3M,Disrupt SF 2011,Finalist,Acquired,,,,,,,
TripIt,tripit.com,$13.1M,TC40 2007,Contestant,Acquired,,,,,,,
Trippy,trippy.com,$5.3M,Disrupt SF 2011,Contestant,Operating,,,,,,,
Trollim,trollim.com,,TC50 2009,Contestant,Closed,,,,,,,
TrueCar,truecar.com,$332.4M,TC50 2008,Contestant,Ipo,,,,,,,
Trustev,trustev.com,$7.8M,Disrupt NYC 2013,Contestant,Acquired,,,,,,,
Trutap,trutap.com,$14.5M,TC40 2007,Contestant,Closed,,,,,,,
Tweegee,tweegee.com,$3M,TC50 2008,Contestant,Operating,,,,,,,
Twentify,twentify.com,$1M,Disrupt London 2015,Contestant,Operating,,,,,,,
UberConference,uberconference.com,$35M,Disrupt NYC 2012,Winner,Operating,,,,,,,
Udorse,udorse.com,$500K,TC50 2009,Contestant,Closed,,,,,,,
UJAM,ujam.com,$2M,Disrupt NYC 2010,Finalist,Operating,,,,,,,
Undrip,undrip.com,,Disrupt SF 2012,Contestant,Operating,,,,,,,
Ungeo,ungeo.cn,,Disrupt Beijing 2011,Audience choice,Operating,,,,,,,
UnifyID,unify.id,,Disrupt SF 2016,Finalist,Operating,,,,,,,
UnitedStyles,unitedstyles.com,,Disrupt Beijing 2011,Finalist,Closed,,,,,,,
UpScored,upscored.com,,Disrupt NY 2016,Contestant,Operating,,,,,,,
Upwork,upwork.com,$168.8M,TC50 2009,Audience choice,Operating,,,,,,,
UQ Life,uqlife.com,,Disrupt NYC 2013,Contestant,Operating,,,,,,,
Valor Water Analytics,valorwater.com,$2.8M,Disrupt SF 2014,Contestant,Operating,,,,,,,
