Startup,Product,Funding,Event,Result,OperatingState,,,,Audience choice,Operating,,Funding
BitFusion.io,bitfusion.io,$6.5M,Disrupt NY 2015,Finalist,Operating,,,,,,,$1.3M
Blaze,blaze.cc,$2M,Hardware Battlefield 2014,Finalist,Operating,,,,,,,$12M
BlazingDB,blazingdb.com,$118K,Disrupt SF 2016,Finalist,Operating,,,,,,,$2.6M
BLITAB Technology,blitab.com,,-,Contestant,Operating,,,,,,,$411.5K
Bloomlife,bloomlife.com,$4M,-,Runner up,Operating,,,,,,,$925K
Bojam,bojam.com,,TC50 2008,Contestant,Closed,,,,,,,$35.4M
Boomerang Commerce,boomerangcommerce.com,$20.5M,Disrupt NYC 2014,Finalist,Operating,,,,,,,$38M
Botify,botify.com,$7.2M,Disrupt NY 2016,Contestant,Operating,,,,,,,$37.1M
BRANDiD - Shop. Like a Man.,brandid.com,$2.3M,Disrupt SF 2013,Contestant,Operating,,,,,,,$6.8M
Branto Inc.,branto.co,$212K,Hardware Battlefield 2015,Contestant,Operating,,,,,,,$72M
Bravo Tip or Pay,trybravo.com,,Disrupt SF 2015,Audience choice,Operating,,,,,,,$64M
Breakthrough Partners,breakthroughpartners.org,,TC50 2009,Contestant,Operating,,,,,,,$12.5M
Breezeworks,breezeworks.com,$7M,Disrupt SF 2013,Contestant,Operating,,,,,,,$900K
Breinify,breinify.com,,Disrupt SF 2016,Contestant,Operating,,,,,,,$100K
BrightContext,brightcontext.com,,Disrupt SF 2012,Contestant,Acquired,,,,,,,$7.3M
BroadClip,broadclip.com,$8.1M,TC40 2007,Contestant,Closed,,,,,,,$983K
BroadPeak Partners,broadpeakpartners.com,,Disrupt NYC 2012,Contestant,Operating,,,,,,,$9.7M
Burt,burtcorp.com,$8.5M,TC50 2008,Contestant,Operating,,,,,,,$5.4M
Buyosphere,buyosphere.com,$325K,Disrupt SF 2010,Contestant,Closed,,,,,,,$160K
Buyou,buyouapp.com,$20K,Disrupt NYC 2012,Audience choice,Operating,,,,,,,$300K
Cake Financial,cakefinancial.com,,TC40 2007,Contestant,Acquired,,,,,,,$1.7B
Cake Health,cakehealth.com,$150K,Disrupt SF 2011,Finalist,Acquired,,,,,,,$10.1M
